,age,employ,address,income,debtinc,creddebt,othdebt,ed,default
47,47.0,4,2,26.0,10.4,0.12168,2.58232,1.0,0
48,23.0,0,2,21.0,11.4,0.775656,1.618344,2.0,1
49,35.0,18,2,42.0,7.4,0.205128,2.902872,1.0,0
50,34.0,2,11,25.0,12.6,0.5733,2.5767,1.0,1
51,46.0,1,12,20.0,14.0,0.8092,1.9908,1.0,0
52,46.0,16,18,52.0,12.9,3.032016,3.675984,1.0,1
53,38.0,3,18,25.0,3.7,0.311725,0.613275,,0
54,40.0,3,2,28.0,9.5,0.55328,2.10672,2.0,0
55,37.0,1,3,24.0,15.1,1.801128,1.822872,1.0,1
56,35.0,9,1,34.0,5.0,0.3978,1.3022,1.0,0
57,,16,13,69.0,2.4,1.061496,0.594504,2.0,0
58,40.0,18,6,100.0,2.5,1.485,1.015,3.0,0
59,50.0,10,20,80.0,12.2,2.47904,7.28096,3.0,0
60,31.0,9,10,28.0,2.4,0.047712,0.624288,1.0,0
61,29.0,13,1,42.0,7.4,1.457652,1.650348,1.0,1
62,37.0,4,0,23.0,12.4,0.86986,1.98214,1.0,0
63,33.0,4,9,55.0,7.0,2.15985,1.69015,2.0,0
64,,5,7,28.0,7.8,1.024296,1.159704,2.0,0
65,32.0,11,6,,23.3,7.7589,9.7161,2.0,1
66,28.0,2,3,23.0,6.4,0.186944,1.285056,2.0,1
67,39.0,19,8,46.0,9.1,2.515786,1.670214,1.0,0
68,28.0,8,3,31.0,8.2,1.492154,1.049846,2.0,1
69,29.0,1,2,20.0,18.6,0.56916,3.15084,1.0,1
70,34.0,3,8,21.0,23.1,1.401939,3.449061,2.0,0
71,28.0,5,9,34.0,23.8,3.099236,4.992764,2.0,0
72,47.0,26,21,100.0,12.8,4.5824,8.2176,1.0,0
73,43.0,1,5,,10.6,1.518556,1.237444,3.0,0
74,41.0,13,10,44.0,1.7,0.07106,0.67694,1.0,0
75,47.0,13,25,51.0,23.8,3.738504,8.399496,1.0,0
76,24.0,2,1,21.0,0.6,0.025074,0.100926,1.0,0
77,29.0,1,9,17.0,6.7,0.157182,0.981818,1.0,0
78,33.0,14,2,37.0,2.6,0.199134,0.762866,1.0,0
79,,15,10,39.0,3.2,0.6864,0.5616,1.0,0
80,26.0,4,3,27.0,10.5,2.47212,0.36288,1.0,1
81,31.0,11,12,45.0,17.0,2.7387,4.9113,1.0,0
82,37.0,7,3,32.0,19.6,2.69696,3.57504,1.0,0
83,35.0,4,16,29.0,11.0,1.84382,1.34618,4.0,0
84,26.0,4,3,20.0,5.4,0.3186,0.7614,1.0,0
85,40.0,10,15,45.0,18.8,2.01348,6.44652,1.0,0
86,29.0,5,4,36.0,12.4,3.490848,0.973152,2.0,1
87,37.0,5,17,29.0,24.6,1.405398,5.728602,3.0,0
88,32.0,12,12,28.0,2.9,0.116116,0.695884,1.0,0
89,23.0,0,1,17.0,27.7,2.043706,2.665294,2.0,1
90,32.0,3,10,23.0,6.2,0.052762,1.373238,1.0,0
91,25.0,1,6,15.0,11.4,0.37107,1.33893,1.0,1
92,38.0,5,5,54.0,10.6,1.499688,4.224312,1.0,0
93,32.0,0,6,18.0,5.8,0.296496,0.747504,2.0,1
94,41.0,2,0,15.0,26.3,1.960665,1.984335,3.0,1
95,36.0,17,6,,4.4,0.727056,1.648944,1.0,0
96,42.0,13,0,82.0,3.3,1.315116,1.390884,,0
97,41.0,14,8,52.0,7.3,0.926224,2.869776,1.0,0
98,29.0,4,9,19.0,6.3,0.681093,0.515907,2.0,0
99,38.0,4,6,31.0,9.3,1.331946,1.551054,3.0,1
100,39.0,22,9,113.0,2.6,0.987168,1.950832,1.0,0
101,36.0,6,9,26.0,8.3,0.030212,2.127788,1.0,0
102,33.0,8,7,27.0,5.8,0.776736,0.789264,1.0,0
103,42.0,21,11,121.0,3.1,1.365364,2.385636,2.0,0
104,41.0,22,17,75.0,23.6,9.8766,7.8234,2.0,0
105,40.0,8,17,28.0,3.6,0.53424,0.47376,1.0,0
106,53.0,9,18,50.0,11.2,2.016,3.584,1.0,1
107,28.0,4,7,26.0,13.5,1.29519,2.21481,1.0,0
108,36.0,12,13,60.0,7.9,1.72062,3.01938,2.0,0
109,34.0,9,13,45.0,10.1,1.11807,3.42693,2.0,0
110,45.0,2,5,39.0,4.9,0.45864,1.45236,3.0,0
111,38.0,6,0,41.0,8.9,0.266377,3.382623,1.0,0
112,21.0,0,2,24.0,7.7,0.833448,1.014552,3.0,0
113,42.0,12,11,51.0,21.4,2.411994,8.502006,,0
114,,16,25,64.0,8.6,1.865856,3.638144,1.0,0
115,25.0,4,6,33.0,5.2,0.552552,1.163448,2.0,0
116,34.0,9,9,65.0,6.2,2.10769,1.92231,2.0,0
117,40.0,15,16,73.0,3.4,1.032512,1.449488,2.0,0
118,31.0,0,4,27.0,12.8,1.08864,2.36736,2.0,1
119,25.0,1,0,20.0,6.7,0.47168,0.86832,1.0,1
120,45.0,12,19,37.0,9.5,1.34273,2.17227,1.0,0
121,23.0,3,0,19.0,8.4,0.2793,1.3167,1.0,1
122,34.0,6,3,27.0,35.3,1.982448,7.548552,4.0,1
123,31.0,2,4,22.0,12.7,1.092454,1.701546,1.0,1
124,28.0,5,9,22.0,2.8,0.140448,0.475552,1.0,0
125,41.0,7,11,43.0,4.4,0.694364,1.197636,1.0,0
126,39.0,7,2,68.0,13.0,1.0166,7.8234,2.0,1
127,29.0,9,3,36.0,1.4,0.127008,0.376992,2.0,0
128,21.0,5,1,25.0,9.0,0.36675,1.88325,1.0,0
129,41.0,19,2,68.0,5.8,1.506608,2.437392,2.0,0
130,26.0,1,7,27.0,2.9,0.311634,0.471366,4.0,0
131,33.0,5,10,18.0,12.9,0.984528,1.337472,1.0,0
132,45.0,18,19,35.0,17.4,0.5481,5.5419,2.0,0
133,39.0,17,20,60.0,13.7,2.44956,5.77044,1.0,0
134,24.0,7,2,21.0,6.3,0.519939,0.803061,1.0,0
135,29.0,6,7,57.0,2.2,0.452694,0.801306,2.0,0
136,27.0,1,0,23.0,12.4,0.2852,2.5668,2.0,0
137,40.0,13,2,28.0,5.9,0.964768,0.687232,,0
138,29.0,8,10,,6.7,0.469536,1.138464,1.0,0
139,,4,3,37.0,6.6,1.15995,1.28205,2.0,1
140,24.0,0,2,16.0,16.0,1.00864,1.55136,1.0,1
141,27.0,9,6,45.0,17.8,2.85156,5.15844,1.0,1
142,41.0,16,22,135.0,4.4,1.2771,4.6629,3.0,0
143,31.0,11,8,25.0,9.1,0.14105,2.13395,1.0,0
144,41.0,16,17,68.0,5.4,0.447984,3.224016,1.0,0
145,42.0,5,3,41.0,3.4,0.35547,1.03853,2.0,0
146,28.0,1,3,26.0,12.4,0.377208,2.846792,4.0,0
147,30.0,2,8,25.0,10.0,1.77,0.73,4.0,0
148,30.0,11,1,33.0,8.4,0.681912,2.090088,1.0,0
149,31.0,8,4,44.0,8.0,1.72128,1.79872,1.0,0
150,45.0,15,14,51.0,18.1,1.550808,7.680192,2.0,0
151,43.0,13,23,76.0,6.1,2.151104,2.484896,1.0,1
152,36.0,4,10,23.0,16.3,1.327146,2.421854,1.0,0
153,28.0,8,6,30.0,7.2,0.61344,1.54656,1.0,0
154,27.0,3,5,33.0,13.2,1.6335,2.7225,2.0,0
155,36.0,13,3,39.0,19.2,2.800512,4.687488,3.0,0
156,33.0,12,11,32.0,11.3,2.104512,1.511488,1.0,0
157,54.0,9,2,28.0,14.8,1.558144,2.585856,1.0,1
158,33.0,9,4,,13.8,1.348674,2.653326,1.0,1
159,31.0,9,5,26.0,4.5,0.31005,0.85995,1.0,0
160,21.0,4,0,26.0,8.9,1.420796,0.893204,1.0,0
161,28.0,5,9,44.0,8.7,0.773256,3.054744,3.0,0
162,31.0,2,1,26.0,6.8,0.28288,1.48512,2.0,1
163,32.0,8,6,26.0,4.1,0.326196,0.739804,1.0,0
164,35.0,1,8,24.0,12.5,0.591,2.409,2.0,1
165,40.0,13,11,102.0,18.9,6.226794,13.051206,2.0,1
166,22.0,4,2,24.0,15.6,1.636128,2.107872,1.0,1
167,39.0,4,9,38.0,6.5,1.17819,1.29181,1.0,0
168,41.0,14,3,44.0,1.7,0.353056,0.394944,4.0,0
169,34.0,16,9,79.0,4.0,1.73484,1.42516,1.0,0
170,29.0,7,9,22.0,9.7,0.550572,1.583428,1.0,0
171,31.0,4,10,28.0,11.3,0.291088,2.872912,1.0,0
172,32.0,1,0,20.0,4.8,0.31488,0.64512,1.0,1
173,,14,7,73.0,8.8,3.751616,2.672384,1.0,0
174,33.0,6,14,21.0,7.5,0.567,1.008,1.0,0
175,26.0,6,0,22.0,10.3,0.720588,1.545412,1.0,0
176,21.0,1,1,18.0,17.3,0.158814,2.955186,1.0,0
177,28.0,7,2,34.0,7.0,0.35938,2.02062,2.0,0
178,37.0,13,5,24.0,8.9,0.602352,1.533648,1.0,0
179,33.0,2,14,35.0,22.9,2.123975,5.891025,2.0,1
180,39.0,12,10,46.0,5.0,0.5612,1.7388,1.0,0
181,40.0,8,19,57.0,5.6,0.8778,2.3142,2.0,0
182,45.0,16,21,80.0,3.0,0.912,1.488,3.0,0
183,27.0,10,6,34.0,6.5,0.85085,1.35915,1.0,0
184,28.0,0,7,29.0,24.2,1.424654,5.593346,4.0,0
185,,13,9,27.0,8.0,0.96552,1.19448,1.0,0
186,40.0,14,21,43.0,15.0,2.79285,3.65715,1.0,1
187,27.0,11,8,,16.9,4.63736,4.82664,1.0,0
188,36.0,1,4,16.0,9.3,0.433008,1.054992,1.0,0
189,55.0,19,2,78.0,15.6,4.404816,7.763184,1.0,0
190,27.0,4,3,22.0,13.2,1.086096,1.817904,2.0,1
191,30.0,1,8,17.0,11.0,0.74613,1.12387,1.0,0
192,36.0,10,0,28.0,11.2,0.81536,2.32064,1.0,1
193,31.0,1,6,21.0,2.5,0.2772,0.2478,1.0,1
194,33.0,13,2,40.0,7.2,0.18144,2.69856,2.0,0
195,30.0,4,0,33.0,4.2,0.500346,0.885654,1.0,0
196,24.0,1,0,18.0,5.9,0.23895,0.82305,1.0,1
197,33.0,9,10,28.0,4.3,0.376852,0.827148,4.0,0
198,,8,27,47.0,6.9,0.398889,2.844111,1.0,0
199,31.0,6,6,32.0,23.1,3.341184,4.050816,2.0,1
200,28.0,3,7,19.0,4.1,0.260965,0.518035,1.0,0
201,,8,10,88.0,6.1,0.284504,5.083496,3.0,1
202,48.0,3,23,45.0,9.8,0.97461,3.43539,4.0,0
203,36.0,0,17,30.0,9.7,0.32883,2.58117,2.0,0
204,29.0,7,1,63.0,5.5,0.571725,2.893275,3.0,0
205,40.0,17,11,116.0,6.0,2.56128,4.39872,3.0,0
206,33.0,7,6,26.0,6.0,0.54288,1.01712,1.0,0
207,26.0,6,6,30.0,1.0,0.1437,0.1563,2.0,0
208,36.0,14,11,81.0,7.2,1.784592,4.047408,1.0,0
209,26.0,6,0,35.0,1.9,0.085785,0.579215,2.0,0
210,40.0,16,6,116.0,12.1,1.61414,12.42186,3.0,0
211,44.0,5,3,48.0,9.0,1.96992,2.35008,1.0,1
212,29.0,1,10,30.0,4.5,0.27945,1.07055,3.0,0
213,35.0,5,3,37.0,5.4,0.581418,1.416582,3.0,1
214,34.0,16,3,75.0,10.4,3.9546,3.8454,,0
215,34.0,12,8,47.0,6.7,1.300537,1.848463,3.0,0
216,46.0,14,25,35.0,10.2,1.34946,2.22054,1.0,0
217,41.0,21,22,145.0,12.2,3.23727,14.45273,2.0,0
218,,7,8,30.0,4.0,0.4476,0.7524,2.0,1
219,27.0,0,6,70.0,8.0,1.6184,3.9816,4.0,1
220,28.0,11,6,24.0,2.4,0.107136,0.468864,1.0,0
221,48.0,0,27,19.0,10.8,0.849528,1.202472,3.0,0
222,48.0,17,26,113.0,12.0,3.37644,10.18356,3.0,0
223,29.0,5,6,70.0,19.9,3.17604,10.75396,3.0,1
224,43.0,9,5,60.0,20.4,4.0392,8.2008,2.0,1
225,23.0,5,2,17.0,7.9,0.302175,1.040825,1.0,0
226,29.0,10,8,44.0,18.1,3.70326,4.26074,2.0,0
227,40.0,5,6,75.0,1.9,0.884925,0.540075,4.0,0
228,22.0,0,3,20.0,5.6,0.2072,0.9128,2.0,0
229,23.0,7,3,22.0,14.4,0.849024,2.318976,1.0,0
230,46.0,9,10,60.0,15.3,1.6065,7.5735,3.0,0
231,55.0,3,11,40.0,8.0,0.5632,2.6368,1.0,1
232,38.0,8,16,38.0,0.6,0.029412,0.198588,2.0,0
233,35.0,5,1,33.0,2.8,0.103488,0.820512,2.0,0
234,30.0,11,9,27.0,0.9,0.073872,0.169128,1.0,0
235,24.0,7,0,18.0,6.5,0.5265,0.6435,1.0,0
236,,4,3,28.0,9.5,0.2261,2.4339,2.0,0
237,32.0,2,11,15.0,9.1,0.118755,1.246245,2.0,1
238,37.0,11,4,75.0,3.5,0.632625,1.992375,2.0,0
239,39.0,6,19,42.0,19.9,2.540832,5.817168,1.0,1
240,30.0,4,4,21.0,18.3,0.491904,3.351096,,0
241,30.0,10,11,39.0,9.5,2.056275,1.648725,1.0,0
242,32.0,7,10,32.0,4.3,0.43344,0.94256,2.0,0
243,54.0,21,20,118.0,14.4,9.60048,7.39152,3.0,0
244,27.0,3,4,35.0,13.3,1.60132,3.05368,3.0,0
245,31.0,12,4,31.0,23.7,2.05716,5.28984,1.0,0
246,39.0,15,16,39.0,1.8,0.139698,0.562302,1.0,0
247,31.0,5,3,25.0,14.1,1.17735,2.34765,1.0,0
248,35.0,15,11,40.0,18.5,1.2136,6.1864,1.0,0
249,35.0,10,16,98.0,13.3,4.874716,8.159284,2.0,0
250,46.0,22,17,144.0,11.1,3.324672,12.659328,2.0,0
251,33.0,13,3,52.0,21.3,2.71362,8.36238,1.0,1
252,,13,3,105.0,1.9,1.418445,0.576555,2.0,0
253,35.0,1,1,21.0,7.9,0.369957,1.289043,2.0,0
254,38.0,5,13,21.0,9.0,0.44982,1.44018,1.0,0
255,41.0,19,1,,7.8,2.253888,5.234112,1.0,0
256,38.0,18,19,44.0,4.5,0.60588,1.37412,1.0,0
257,34.0,2,14,39.0,13.2,1.142856,4.005144,3.0,0
258,51.0,16,25,82.0,4.4,2.604976,1.003024,3.0,0
259,34.0,10,2,33.0,9.5,0.573705,2.561295,2.0,0
260,47.0,15,1,30.0,24.5,2.21235,5.13765,1.0,0
261,34.0,8,6,78.0,5.4,2.156544,2.055456,2.0,0
262,27.0,8,7,18.0,11.9,0.400554,1.741446,2.0,0
263,52.0,9,11,24.0,19.2,0.801792,3.806208,1.0,1
264,39.0,9,6,35.0,5.0,0.23275,1.51725,1.0,0
265,33.0,7,0,22.0,6.4,0.630784,0.777216,1.0,0
266,34.0,0,1,21.0,7.2,0.187488,1.324512,1.0,0
267,31.0,9,7,59.0,14.6,3.109654,5.504346,3.0,1
268,28.0,2,9,16.0,15.2,0.870656,1.561344,1.0,0
269,39.0,19,16,45.0,3.7,0.91575,0.74925,1.0,0
270,51.0,22,23,120.0,7.6,4.14048,4.97952,2.0,0
271,22.0,4,1,16.0,1.2,0.08448,0.10752,1.0,0
272,27.0,6,4,26.0,10.4,0.930176,1.773824,3.0,0
273,32.0,16,10,38.0,21.0,0.69426,7.28574,1.0,0
274,28.0,6,7,38.0,7.2,0.774288,1.961712,2.0,0
275,27.0,1,0,20.0,10.3,0.37698,1.68302,2.0,1
276,26.0,2,6,24.0,13.6,1.576512,1.687488,2.0,1
277,32.0,14,0,,2.4,0.273024,0.590976,1.0,0
278,30.0,0,11,17.0,3.7,0.44659,0.18241,1.0,1
279,39.0,13,1,38.0,8.9,1.897302,1.484698,1.0,0
280,31.0,11,6,,4.8,0.345408,0.998592,1.0,1
281,34.0,15,2,39.0,24.7,4.373382,5.259618,1.0,1
282,31.0,8,3,41.0,12.6,0.134316,5.031684,1.0,0
283,29.0,1,7,25.0,10.4,0.5694,2.0306,2.0,0
284,29.0,9,0,25.0,13.9,1.0703,2.4047,1.0,0
285,35.0,9,16,30.0,7.6,0.6498,1.6302,2.0,0
286,29.0,11,7,32.0,6.0,0.92736,0.99264,1.0,0
287,38.0,2,16,22.0,22.7,1.208548,3.785452,2.0,1
288,35.0,16,15,36.0,3.4,0.178704,1.045296,1.0,0
289,29.0,11,5,36.0,6.1,0.709308,1.486692,1.0,0
290,23.0,3,4,34.0,4.4,0.2618,1.2342,2.0,0
291,33.0,9,8,32.0,5.5,0.49632,1.26368,,0
292,51.0,19,25,159.0,2.8,1.06848,3.38352,2.0,0
293,24.0,4,2,21.0,2.6,0.099372,0.446628,1.0,0
294,31.0,10,12,49.0,9.8,3.236548,1.565452,1.0,1
295,45.0,10,14,52.0,5.4,0.932256,1.875744,1.0,0
296,29.0,3,1,17.0,9.0,0.46971,1.06029,1.0,0
297,34.0,0,10,20.0,17.1,2.04858,1.37142,1.0,0
298,25.0,4,5,27.0,5.0,0.54945,0.80055,2.0,1
299,37.0,20,2,56.0,1.9,0.54264,0.52136,1.0,0
300,47.0,29,18,129.0,25.3,20.56131,12.07569,1.0,1
301,43.0,6,24,54.0,9.6,0.62208,4.56192,2.0,0
302,47.0,22,19,81.0,5.5,1.50579,2.94921,1.0,0
303,24.0,6,2,21.0,5.2,0.108108,0.983892,1.0,0
304,27.0,5,1,75.0,6.3,2.206575,2.518425,3.0,0
305,25.0,9,4,18.0,1.2,0.06588,0.15012,1.0,0
306,36.0,11,12,44.0,14.7,0.446292,6.021708,3.0,0
307,,16,20,57.0,19.4,1.559178,9.498822,1.0,0
308,26.0,10,1,25.0,7.1,1.3064,0.4686,1.0,0
309,41.0,4,19,25.0,10.1,1.0605,1.4645,1.0,0
310,39.0,19,15,60.0,27.1,9.5934,6.6666,,1
311,37.0,18,8,54.0,12.1,4.593402,1.940598,1.0,0
312,29.0,2,0,14.0,14.4,0.586656,1.429344,1.0,1
313,42.0,6,9,31.0,11.6,1.02486,2.57114,1.0,0
314,31.0,1,6,29.0,11.1,1.065489,2.153511,4.0,0
315,36.0,4,15,17.0,17.3,0.520557,2.420443,1.0,0
316,39.0,16,4,52.0,20.0,4.16,6.24,1.0,0
317,23.0,0,2,23.0,6.7,0.468464,1.072536,4.0,0
318,39.0,4,15,33.0,7.0,0.39732,1.91268,1.0,0
319,27.0,4,1,40.0,3.1,0.28396,0.95604,3.0,1
320,24.0,8,4,24.0,5.0,0.3816,0.8184,1.0,0
321,27.0,3,4,45.0,11.0,0.29205,4.65795,3.0,1
322,41.0,16,22,49.0,1.6,0.4312,0.3528,1.0,0
323,38.0,0,8,23.0,8.1,0.897966,0.965034,1.0,1
324,40.0,5,12,35.0,16.4,1.58424,4.15576,2.0,1
325,54.0,25,12,120.0,26.5,14.5962,17.2038,1.0,1
326,40.0,12,6,89.0,17.4,2.771994,12.714006,1.0,0
327,40.0,2,4,32.0,3.7,0.853664,0.330336,1.0,0
328,29.0,1,8,31.0,8.0,0.15624,2.32376,1.0,0
329,30.0,8,6,23.0,12.0,0.76176,1.99824,1.0,0
330,29.0,1,1,18.0,1.1,0.029898,0.168102,1.0,0
331,29.0,3,3,,2.4,0.2592,0.9408,3.0,1
332,28.0,2,4,41.0,2.5,0.4592,0.5658,4.0,1
333,28.0,0,5,38.0,10.4,0.636272,3.315728,4.0,0
334,39.0,16,9,89.0,14.3,5.001711,7.725289,2.0,0
335,32.0,11,2,53.0,3.3,0.089199,1.659801,1.0,0
336,36.0,7,16,43.0,15.4,2.6488,3.9732,2.0,0
337,39.0,20,12,39.0,8.2,0.773916,2.424084,1.0,0
338,28.0,6,8,47.0,19.8,5.574294,3.731706,3.0,1
339,28.0,4,2,28.0,14.2,0.43736,3.53864,1.0,1
340,46.0,6,19,31.0,12.2,1.98555,1.79645,1.0,0
341,30.0,4,8,15.0,6.5,0.350025,0.624975,,0
342,39.0,15,19,32.0,4.9,0.421792,1.146208,2.0,0
343,40.0,5,3,220.0,16.0,8.1664,27.0336,3.0,1
344,44.0,18,4,74.0,13.4,4.521696,5.394304,2.0,0
345,30.0,0,8,19.0,16.6,0.624492,2.529508,1.0,1
346,24.0,3,0,19.0,4.3,0.358663,0.458337,2.0,0
347,32.0,10,13,32.0,11.3,1.167968,2.448032,1.0,0
348,29.0,3,8,15.0,2.6,0.14664,0.24336,2.0,0
349,40.0,2,1,36.0,3.8,0.277704,1.090296,2.0,0
350,41.0,8,21,43.0,0.7,0.085785,0.215215,2.0,0
351,22.0,1,3,,18.6,0.80631,2.35569,1.0,0
352,,10,8,34.0,1.2,0.036312,0.371688,1.0,0
353,37.0,6,13,62.0,8.5,1.18575,4.08425,2.0,0
354,41.0,18,6,71.0,15.7,6.565583,4.581417,3.0,1
355,41.0,7,6,56.0,14.5,0.37352,7.74648,3.0,1
356,39.0,2,15,22.0,23.1,1.915914,3.166086,1.0,1
357,24.0,0,2,15.0,16.1,0.321195,2.093805,2.0,1
358,32.0,9,10,51.0,23.0,2.68617,9.04383,3.0,0
359,21.0,0,1,26.0,7.7,1.529528,0.472472,3.0,0
360,29.0,13,7,27.0,2.3,0.068931,0.552069,1.0,0
361,35.0,14,3,82.0,0.8,0.468384,0.187616,2.0,0
362,29.0,6,7,21.0,18.1,1.109892,2.691108,1.0,0
363,41.0,2,22,30.0,6.7,0.11256,1.89744,,0
364,37.0,0,18,18.0,12.9,1.583604,0.738396,1.0,1
365,32.0,3,13,47.0,1.9,0.42864,0.46436,2.0,0
366,36.0,5,12,20.0,8.1,0.729,0.891,5.0,0
367,39.0,18,9,44.0,2.1,0.367752,0.556248,2.0,0
368,36.0,18,9,67.0,11.2,5.245296,2.258704,1.0,0
369,46.0,22,4,99.0,2.3,0.826551,1.450449,3.0,0
370,34.0,13,11,51.0,9.6,1.875168,3.020832,1.0,0
371,27.0,7,4,,9.1,0.641186,1.724814,1.0,0
372,43.0,8,11,45.0,3.3,0.67716,0.80784,1.0,0
373,33.0,14,8,72.0,41.3,15.01668,14.71932,1.0,1
374,39.0,20,17,101.0,1.4,0.340774,1.073226,2.0,0
375,29.0,1,4,17.0,2.5,0.13175,0.29325,1.0,0
376,34.0,7,15,40.0,6.4,0.94976,1.61024,4.0,0
377,26.0,1,0,21.0,4.9,0.608139,0.420861,1.0,0
378,31.0,15,2,60.0,4.8,0.80352,2.07648,1.0,0
379,26.0,10,6,24.0,2.7,0.31104,0.33696,1.0,0
380,28.0,12,7,45.0,7.7,1.853775,1.611225,1.0,0
381,48.0,13,20,50.0,30.8,6.1138,9.2862,1.0,1
382,39.0,2,12,46.0,16.0,4.00384,3.35616,2.0,1
383,37.0,3,3,25.0,3.7,0.27565,0.64935,1.0,0
384,52.0,9,0,70.0,9.4,1.32916,5.25084,5.0,1
385,48.0,3,11,27.0,21.3,1.403244,4.347756,1.0,0
386,26.0,7,3,22.0,5.1,0.208692,0.913308,1.0,0
387,46.0,15,0,126.0,3.1,0.476532,3.429468,5.0,0
388,31.0,7,10,23.0,4.9,0.2254,0.9016,,0
389,34.0,13,8,56.0,6.1,0.864248,2.551752,1.0,0
390,40.0,22,4,95.0,3.6,0.6327,2.7873,1.0,0
391,24.0,2,5,,6.4,0.270336,0.753664,3.0,1
392,33.0,2,14,44.0,3.1,0.52514,0.83886,1.0,0
393,53.0,5,29,78.0,17.3,6.935916,6.558084,4.0,1
394,47.0,9,1,,20.1,2.539836,7.912164,3.0,1
395,35.0,5,5,32.0,13.0,0.17472,3.98528,1.0,0
396,34.0,14,8,28.0,17.0,1.13764,3.62236,1.0,0
397,49.0,11,5,,10.1,2.457936,1.481064,1.0,0
398,26.0,0,7,28.0,9.3,1.270752,1.333248,2.0,0
399,23.0,2,2,16.0,9.6,0.804864,0.731136,1.0,1
400,23.0,0,4,21.0,8.7,0.454923,1.372077,2.0,0
401,38.0,4,13,56.0,1.6,0.441728,0.454272,2.0,0
402,28.0,5,2,37.0,8.3,1.123986,1.947014,2.0,0
403,30.0,0,8,65.0,29.7,3.89961,15.40539,3.0,1
404,34.0,18,10,34.0,15.4,2.099636,3.136364,1.0,0
405,50.0,16,14,71.0,11.1,1.662891,6.218109,2.0,0
406,29.0,12,2,40.0,6.7,1.63212,1.04788,1.0,0
407,42.0,0,9,64.0,6.6,0.278784,3.945216,3.0,0
408,31.0,13,12,27.0,5.0,0.2376,1.1124,1.0,0
409,39.0,10,4,31.0,4.8,0.184512,1.303488,1.0,0
410,45.0,21,26,132.0,3.0,2.55816,1.40184,2.0,0
411,45.0,22,24,91.0,11.7,1.256346,9.390654,1.0,0
412,36.0,14,17,53.0,5.7,1.888125,1.132875,1.0,0
413,25.0,0,6,,12.1,1.5972,1.3068,4.0,1
414,29.0,1,7,29.0,21.2,2.330092,3.817908,2.0,1
